country,code,region,income group,year,Number of conference papers Percapita,Number of journal papers Percapita,Number of Deep Learning papers Percapita,Number of patents Percapita,Total Funding Amount Percapita,Total Number of Startups Percapita,AI hiring index,Number of conference papers,Count of conference citation,Count of citation references,Number of journal papers,Count of journal citation,Count of journal references,Number of AI occupational skills,Number of Deep Learning papers,Number of patents,Count of patent citation,Count of patent references,Percentile Rank,Proportion of female AI authors,Proportion of female in AI workplace,Revealed Comparative Advantage - Deep Learning Papers,Share of total enrollment,Skill Penetration Index,Total Funding Amount,Total Number of Startups,Total number of hires on LinkedIn,Number of conference papers Percapita scaled,Number of journal papers Percapita scaled,Number of Deep Learning papers Percapita scaled,Number of patents Percapita scaled,Total Funding Amount Percapita scaled,Total Number of Startups Percapita scaled,AI hiring index scaled,Number of conference papers scaled,Count of conference citation scaled,Count of citation references scaled,Number of journal papers scaled,Count of journal citation scaled,Count of journal references scaled,Number of AI occupational skills scaled,Number of Deep Learning papers scaled,Number of patents scaled,Count of patent citation scaled,Count of patent references scaled,Percentile Rank scaled,Proportion of female AI authors scaled,Proportion of female in AI workplace scaled,Revealed Comparative Advantage - Deep Learning Papers scaled,Share of total enrollment scaled,Skill Penetration Index scaled,Total Funding Amount scaled,Total Number of Startups scaled,Total number of hires on LinkedIn scaled
Australia,AUS,East Asia & Pacific,High income,2018,4.23e-05,4.2e-05,1.53e-05,1.18e-06,6.608160075,1.28e-06,2.647439735,1057.647655,3275,37637,1049.783333,9594,82064,23,383,29.5,145,288,0.593220353,26.79131054,0.179466748,1.141056803,0.065224105,0.62754,165153575,32,3406,38.69002573,65.03608661,43.07036728,6.344086022000001,4.39292484,8.016268197,77.76487094,8.557990086,1.604104914,11.60676951,9.531041502999999,5.590189931,15.10466241,14.64968153,12.41468963,1.020055325,2.249108112,0.411952339,59.3220353,64.33759857,56.26590857,75.42708928,42.71533436,23.86383082,0.898171443,2.08913649,5.904071833
Austria,AUT,Europe & Central Asia,High income,2018,2.58e-05,1.9600000000000002e-05,7.46e-06,3.5799999999999995e-07,2.923420802,1.81e-06,0.0,228.4075758,537,6513,172.99292930000001,1261,12610,0,66,3.166666667,0,36,0.898305059,25.41103237,0.0,0.670600431,0.096432918,0.0,25863612,16,0,23.08158014,29.10986367,20.97490587,1.924731183,1.939993331,11.37380111,0.0,1.232168409,0.240117568,1.517985355,1.196541108,0.5465506179999999,1.8830857330000002,0.0,2.112447189,0.109497464,0.0,0.051494042000000004,89.8305059,61.02294986,0.0,41.50134822,67.01327072,0.0,0.138310781,0.974930362,0.0
Belgium,BEL,Europe & Central Asia,High income,2018,2.45e-05,2.48e-05,3.15e-06,1.31e-07,1.8048703609999999,8.75e-07,1.615986745,279.4833333,495,6549,282.7111833,1568,19949,15,36,1.5,0,6,0.915254235,30.87467167,0.14757738,0.671435549,0.097999719,0.57167,20615352,10,1132,21.85182382,37.44987971,8.82803869,0.704301075,1.1953741279999999,5.450606256,47.467369700000006,1.683391041,0.21919446,1.529654685,2.239489146,0.732365723,3.280170871,9.554140127,1.137471563,0.05186722,0.0,0.00858234,91.5254235,74.14352608,46.26804387,41.56157059,68.23311945,21.73922964,0.109680245,0.557103064,1.962245835
Brazil,BRA,Latin America & Caribbean,Upper middle income,2018,3.84e-06,2.47e-06,2.39e-07,2.39e-09,0.022799557,2.3900000000000002e-08,2.858831688,803.3412698,346,18170,517.247619,1616,25491,22,50,0.5,0,0,0.35593220600000003,25.25119044,0.0,0.709126087,0.034350633,0.5734100000000001,4775808,5,3035,2.308158014,1.635926223,0.623971321,0.012849461999999999,0.009049316,0.058915199999999994,83.97421641,6.311350933,0.144967245,5.296579266,4.468920498999999,0.761418247,4.335170985,14.01273885,1.5924601880000002,0.017289073000000002,0.0,0.0,35.5932206,60.63909981,0.0,44.27952598,18.67848113,21.80539764,0.023271676,0.20891364899999998,5.260968296000001
Canada,CAN,North America,High income,2018,3.4899999999999995e-05,3.18e-05,8.5e-06,7.75e-06,21.02276527,3.7e-06,2.3958455069999998,1293.5500359999999,3777,37945,1179.813864,7114,75956,40,315,287.1666667,13,1137,0.559322059,32.23143553,0.18027322899999998,0.981417522,0.073404466,0.8406600000000001,779079631,137,6939,31.68987438,48.67682438,23.90593646,41.66666667,13.98872977,23.34689016,70.37463938,10.64204128,1.854185867,11.70660711,10.76707181,4.089142829,13.94191598,25.47770701,10.20474488,9.929691103,0.201644176,1.626353507,55.9322059,77.40170669,56.51875422,63.91511658,49.08423699,31.96826978,4.247287555,9.401114206,12.02828962
China,CHN,East Asia & Pacific,Upper middle income,2018,6.57e-06,7.59e-06,1.08e-06,1.65e-07,11.78336389,2.1800000000000002e-07,1.127617247,9144.091667,13491,234796,10567.128209999999,46107,528026,57,1509,230.16666669999998,10,396,0.8305084709999999,0.0,0.0,1.481815238,0.112383231,1.56916,16411044387,303,2199,4.890646284,9.847634322000001,2.994160485,0.8870967740000001,7.838058827,1.2885324409999999,33.12219293,79.99670648,6.6934017489999995,75.51547645,100.0,27.69008219,100.0,36.30573248,49.00877478,7.9587367460000005,0.155110904,0.566434467,83.05084709999998,0.0,0.0,100.0,79.43154789,59.67136561,89.52346131,20.96100279,3.811818544
Denmark,DNK,Europe & Central Asia,High income,2018,2.9100000000000003e-05,2.8000000000000003e-05,5.69e-06,3.45e-07,18.96437121,2.07e-06,1.8900444790000002,168.98055559999997,376,5019,162.2484127,897,10759,9,33,2.0,0,6,0.7627118829999999,39.2469546,0.151869159,0.7020348259999999,0.089946071,0.48657,109944918,12,1370,26.20326926,42.58219727,15.98651726,1.85483871,12.61845652,13.02089272,55.51743559,0.707167551,0.159912322,1.033708157,1.094407031,0.32623564,1.530721025,5.732484076,1.039974001,0.069156293,0.0,0.00858234,76.27118829999999,94.24902176,47.61359032,43.76815809,61.96287052,18.50308214,0.596994777,0.69637883,2.374802822
Finland,FIN,Europe & Central Asia,High income,2018,4.7799999999999996e-05,3.19e-05,2.17e-06,7.76e-06,3.9642455219999997,2.54e-06,1.794207839,263.8388889,373,6218,176.19047619999998,1002,12834,11,12,42.83333333,1,155,1.0,17.73504274,0.0,0.314197405,0.138801811,0.6652899999999999,21874905,14,1082,43.89284093,48.8372093,6.066106013,41.72043011,2.632870509,15.99832757,52.70236719,1.54518208,0.158417815,1.4223616780000001,1.226936007,0.38978803799999995,1.9257273830000001,7.006369427,0.357491063,1.48109728,0.01551109,0.22171046,100.0,42.58955749,0.0,15.8002684,100.0,25.29937216,0.116551413,0.8356545959999999,1.8755741999999997
France,FRA,Europe & Central Asia,High income,2018,1.84e-05,1.3699999999999998e-05,3.4e-06,8.14e-06,11.30348696,1.76e-06,1.869428043,1233.651227,2088,33270,916.5995421,5021,64524,49,228,545.0,22,1224,0.644067824,31.32129067,0.19270941800000002,0.7177503709999999,0.101763344,0.90249,757189439,118,6514,16.08142879,19.64715317,9.532613352,43.76344086,7.51860468,11.05705272,54.91185638,10.11287246,1.012778041,10.19121494,8.265037275,2.822331707,11.7656689,31.21019108,7.377315567,18.845089899999998,0.34124398899999997,1.7507974419999999,64.4067824,75.21605271,60.41771311,44.90144386,71.16332768,34.31951538,4.127871228,8.077994429,11.29158072
Germany,DEU,Europe & Central Asia,High income,2018,2.51e-05,1.64e-05,6.04e-06,3.07e-06,5.1503295719999995,7.96e-07,2.004983604,2081.449639,4262,50595,1357.839694,7338,87294,0,501,254.83333330000002,54,728,0.949152529,24.82405469,0.148219516,0.841607113,0.132363859,0.0,427106129,66,6611,22.41940366,23.97754611,16.97292179,16.50537634,3.422446847,4.950143804,58.893613,17.602645499999998,2.095797943,15.80708004,12.45933069,4.2247212769999996,16.10026879,0.0,16.24959376,8.81166436,0.837598883,1.041323969,94.91525290000001,59.61336095,46.46936454,53.83305156,94.98766749,0.0,2.327186404,4.456824513,11.45972369
India,IND,South Asia,Lower middle income,2018,1.66e-06,2.18e-06,1.35e-07,2.58e-08,0.196747772,5.0999999999999993e-08,2.4892799269999997,2242.522222,1641,41840,2947.329304,7607,100341,155,183,34.83333333,2,177,0.406779647,27.14734513,0.190007895,1.010785159,0.115194249,2.62967,266124445,69,29244,0.24595126399999998,1.1708099440000002,0.330868261,0.138709677,0.12484666900000001,0.23059282600000003,73.1191459,19.02562184,0.7900963959999999,12.9691638,27.56853094,4.387536466999999,18.58395456,98.72611465,5.914852129,1.204472107,0.031022181,0.25317904199999997,40.677964700000004,65.19259259,59.57073924,66.03288755,81.62009433,100.0,1.448992123,4.665738162,50.69250637
Ireland,IRL,Europe & Central Asia,High income,2018,3.8e-05,2.3100000000000002e-05,5.98e-06,4.1200000000000004e-07,18.50888883,3.91e-06,1.781902446,184.4511905,388,4181,111.9790043,484,6811,18,29,2.0,0,6,0.440677971,33.57684121,0.161618869,0.8872840559999999,0.072519981,0.72564,89833003,19,1293,34.62237021,34.72333601,16.80382387,2.2150537630000002,12.31524183,24.67723339,52.34091334,0.8438410129999999,0.16589035300000002,0.762072084,0.616561468,0.076262877,0.7791619390000001,11.46496815,0.9099772509999999,0.069156293,0.0,0.00858234,44.0677971,80.63261137,50.67029189,57.12692583,48.39561226,27.59433693,0.487279384,1.183844011,2.241328503
Israel,ISR,Middle East & North Africa,High income,2018,3.2200000000000003e-05,2.59e-05,1.3699999999999998e-05,1.01e-06,150.2269865,1.58e-05,1.8784382030000002,286.03333330000004,931,7795,229.8409091,865,13394,32,122,9.0,0,14,0.694915235,28.45705337,0.177907674,0.8243458790000001,0.115248404,1.23294,1334586503,140,1434,29.1357651,39.21411387,38.56108944,5.4301075270000005,100.0,100.0,55.17651733,1.7412562280000001,0.436396244,1.933543165,1.7369205509999999,0.30686729,2.032331508,20.38216561,3.93240169,0.31120332,0.0,0.020025461,69.4915235,68.33777218,55.77711208,52.58830244,81.66225725,46.88573091,7.277712794,9.610027855,2.4857425159999997
Italy,ITA,Europe & Central Asia,High income,2018,1.56e-05,1.31e-05,3.57e-06,1.84e-06,0.570555998,3.64e-07,1.895516856,939.7730159,1939,26805,793.7980159,4165,50476,20,216,111.0,14,170,0.7118644120000001,30.74624299,0.318961788,0.690349227,0.080218796,0.47803,34479431,22,2804,13.43272287,18.68484362,10.01172412,9.892473118,0.373690864,2.213437734,55.67817908,7.516640774,0.938550826,8.095597745,7.0977236679999995,2.304228353,9.091428267000001,12.738853500000001,6.987325317000001,3.8381742739999996,0.217155266,0.24316631100000002,71.1864412,73.83511292,100.0,42.92548143,54.38960239,18.17832656,0.18531217100000003,1.39275766,4.8605453380000005
Japan,JPN,East Asia & Pacific,High income,2018,1.86e-05,1.13e-05,2.16e-06,5.59e-06,3.7270124339999997,8.85e-07,0.0,2357.813889,2228,38529,1429.214683,4145,45287,0,273,707.8333332999999,43,1704,0.983050823,9.78939724,0.0,1.007304958,0.118279173,0.0,471575529,112,0,16.27062207,15.797915,6.037923027000001,30.05376344,2.474944406,5.513955934,0.0,20.0441522,1.0825217329999999,11.89590958,13.13779943,2.292123134,8.103626825,0.0,8.839779006,24.47556478,0.666976888,2.437384675,98.3050823,23.50860399,0.0,65.78192189,84.02189305,0.0,2.569777809,7.660167131000001,0.0
Netherlands,NLD,Europe & Central Asia,High income,2018,2.3800000000000003e-05,2.9999999999999997e-05,8.07e-06,7.74e-07,2.556640563,9.87e-07,2.120247976,410.03217889999996,1164,11888,517.318229,3468,36117,20,139,13.33333333,0,29,0.864406765,41.64176335,0.174478364,0.9345756540000001,0.085806442,0.59392,44053517,17,3426,21.18964734,45.78989575,22.69406805,4.161290323,1.695827669,6.160122645,62.27934409,2.8367091060000003,0.552469674,3.2602811660000004,4.469591696,1.882361486,6.357984267999999,12.738853500000001,4.484887878,0.461041955,0.0,0.041481312,86.4406765,100.0,54.70196449,60.53723676,58.73992058,22.58534341,0.23754114199999998,1.044568245,5.938740488
Norway,NOR,Europe & Central Asia,High income,2018,3.16e-05,2.2800000000000002e-05,4.52e-06,2.82e-07,10.96762267,2.45e-06,0.0,167.8527778,97,4058,121.40162340000002,699,8239,9,24,1.5,0,2,0.7796609999999999,0.0,0.179579707,0.680761043,0.10756822699999999,0.5219699999999999,58285632,13,0,28.56818526,34.24218123,12.68910784,1.5161290319999998,7.29501977,15.42818047,0.0,0.697204334,0.020923108,0.7222018729999999,0.706129993,0.206393976,1.05100246,5.732484076,0.747481313,0.05186722,0.0,0.00286078,77.9661,0.0,56.30132315,42.23405441,75.68277793,19.84925865,0.315180794,0.766016713,0.0
Portugal,PRT,Europe & Central Asia,High income,2018,3.14e-05,1.88e-05,1.46e-06,3.89e-07,1.2520040829999999,7.78e-07,1.614933814,322.42619049999996,270,6887,193.4901154,1003,11533,8,15,4.0,0,27,0.49152541200000005,34.48621554,0.154229585,0.609636755,0.061252965,0.39676999999999996,12872808,8,901,28.37899198,27.82678428,4.065113972,2.0913978490000003,0.82733096,4.836114384,47.43644131,2.062764545,0.107106384,1.6392167290000002,1.3913810659999999,0.39039329899999997,1.678063155,5.095541401,0.454988625,0.138312586,0.0,0.038620532,49.1525412,82.81641498,48.35362442,37.10511085,39.62356324,15.08820498,0.067442782,0.41782729799999996,1.561822878
Russia,RUS,Europe & Central Asia,Upper middle income,2018,1.78e-06,2.42e-06,2.77e-07,1.1800000000000001e-07,0.191840823,7.61e-08,0.0,256.7083333,191,4011,349.6964646,697,10023,0,40,17.0,1,12,0.542372882,0.0,0.0,0.625987166,0.089642844,0.0,27716788,11,0,0.359467232,1.555733761,0.73106667,0.634408602,0.121580113,0.38960051700000004,0.0,1.482188045,0.067751015,0.7069669140000001,2.876230665,0.205183455,1.390612745,0.0,1.267468313,0.587828492,0.01551109,0.017164681,54.2372882,0.0,0.0,38.28417833,61.72679007,0.0,0.148420307,0.626740947,0.0
Singapore,SGP,East Asia & Pacific,High income,2018,9.31e-05,6.38e-05,3.5499999999999996e-05,3.81e-06,65.45437386,8.34e-06,3.4044160339999996,524.9833333,2264,20530,359.6159091,4871,34898,17,200,21.5,0,63,0.932203412,16.66220346,0.0,1.2665321729999999,0.108950812,0.84846,369076007,47,1775,86.74511881,100.0,100.0,20.48387097,43.56685854,52.74114055,100.0,3.852231244,1.100455825,6.061568682000001,2.9705218589999998,2.731542568,6.125929931,10.82802548,6.467338317,0.7434301520000001,0.0,0.090114574,93.22034120000001,40.01320338,0.0,84.47542014,76.75920344,32.26488495,2.01061796,3.133704735,3.076843072
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2018,1.66e-06,1.64e-06,2.25e-07,0.0,0.19143848,8.65e-08,2.226624414,95.63888889,55,1830,95.02380952,358,5972,9,13,0.0,0,0,0.338983059,0.0,0.0,1.041163948,0.047514312,0.36102,11061243,5,549,0.24595126399999998,0.304731355,0.58451514,0.0,0.12131227300000001,0.455484182,65.40400444,0.059239424000000006,0.0,0.0,0.45539059200000004,0.0,0.619446115,5.732484076,0.38999025,0.0,0.0,0.0,33.898305900000004,0.0,0.0,68.22357513,28.92719628,13.72871881,0.057560254000000005,0.20891364899999998,0.951654562
Spain,ESP,Europe & Central Asia,High income,2018,1.75e-05,2.0600000000000003e-05,2.87e-06,7.13e-08,2.688785911,7.28e-07,1.878981255,819.0757937000001,1523,21027,962.8832722999999,4989,59798,38,134,3.333333333,0,30,0.525423706,33.26728173,0.166441843,0.7813445809999999,0.054995681,0.8942100000000001,125630158,34,3988,15.23005903,30.71371291,8.038915068,0.38333333299999994,1.7837968469999999,4.519365996,55.19246873,6.450355691,0.731312427,6.222670267000001,8.704996205,2.802963358,10.86600623,24.20382166,4.32239194,0.11526048900000001,0.0,0.042911702,52.5423706,79.88922431,52.18237709,49.48737537,34.75189162,34.00464697,0.68256158,2.228412256,6.912929675
Sweden,SWE,Europe & Central Asia,High income,2018,2.5300000000000002e-05,2.37e-05,6.48e-06,1.13e-06,15.71050159,3.83e-06,1.828415128,257.2111111,446,6726,241.39527420000002,1307,14185,14,66,11.5,3,83,0.8813559409999999,29.77129571,0.16147239300000002,0.583509466,0.107824592,0.5613,159982787,39,1915,22.60859694,35.68564555,18.21297319,6.075268817,10.45235501,24.17043597,53.70715887,1.486629775,0.194784168,1.5870288909999999,1.846752798,0.574392621,2.182909836,8.917197452,2.112447189,0.39764868600000003,0.046533270999999994,0.11872237599999999,88.1355941,71.49384011,50.62436915,35.22100917,75.88237349,21.34488358,0.869963536,2.576601671,3.319523653
Switzerland,CHE,Europe & Central Asia,High income,2018,5.660000000000001e-05,4.3700000000000005e-05,2.68e-05,5.5e-06,23.46595984,2.7e-06,1.768821659,482.3611472,2555,18014,372.4091381,3203,29080,25,228,46.83333333,1,270,0.796610177,24.52997564,0.176245834,1.141275866,0.107944384,0.68329,199848856,23,1821,52.21734524,67.76263031,75.48080175,29.56989247,15.61516477,17.01192241,51.95668336,3.475690671,1.24542307,5.246012169,3.092130366,1.72196734,5.018389212,15.92356688,7.377315567,1.619409866,0.01551109,0.38620531799999996,79.6610177,58.90714914,55.25609670000001,75.44288644,75.97563876,25.983868700000002,1.087442648,1.4623955430000002,3.156580977
United Arab Emirates,ARE,Middle East & North Africa,High income,2018,1.07e-05,7.61e-06,1.45e-06,4.15e-06,5.891044807,8.31e-07,0.0,103.2333333,198,3140,73.26666667,399,5154,6,14,40.0,2,349,0.186440677,0.0,0.166491413,1.155230861,0.055519734,0.39671999999999996,56736411,8,0,8.797487513,9.879711307,4.036930986000001,22.31182796,3.915541094,5.171867675,0.0,0.126331629,0.0712382,0.42463395600000003,0.248573872,0.024815697999999997,0.463727946,3.821656051,0.422489438,1.3831258640000001,0.031022181,0.49920613399999997,18.6440677,0.0,52.19791814,76.44921471,35.15989838,15.086303599999999,0.30672941600000003,0.41782729799999996,0.0
United Kingdom,GBR,Europe & Central Asia,High income,2018,3.06e-05,3.16e-05,9.01e-06,2.82e-06,22.34413629,3.37e-06,1.928972146,2033.811147,6812,62192,2100.973027,16346,146551,53,599,187.5,5,594,0.677966118,29.890845600000002,0.165981397,0.91841411,0.08350237,0.9133600000000001,1485639077,224,8583,27.62221886,48.35605453,25.34326878,15.16129032,14.86836666,21.25635081,56.66088183,17.18178897,3.3661294739999996,19.56622507,19.52332801,9.676911717000001,27.38069856,33.75796178,19.43451414,6.48340249,0.077555452,0.8496517,67.79661180000001,71.78093144,52.03801936,59.37178894,56.94606207,34.73287523,8.101741363,15.45961003,14.87805301
United States of America,USA,North America,High income,2018,3.4899999999999995e-05,2.57e-05,9.41e-06,7.42e-06,56.03093548,4.4e-06,2.200960942,11408.347259999999,42160,310331,8418.048857,48175,464274,157,3078,2428.333333,353,12849,0.813559294,26.95409271,0.20196565100000002,1.03873218,0.09057657300000001,1.98863,18331497385,1438,57689,31.68987438,38.89334403,26.47058824,39.89247312,37.29367414,27.78136759,64.65017554,100.0,20.97541535,100.0,79.57151146,28.94176179,87.86388176,100.0,100.0,83.96726601,5.475414922000001,18.37908198,81.35592940000001,64.72850941,63.31970117,68.04821449,62.45375421,75.62279678,100.0,100.0,100.0
Australia,AUS,East Asia & Pacific,High income,2017,4.13e-05,3.52e-05,1.12e-05,1.44e-06,2.895329947,1.38e-06,1.718185008,1016.395635,9077,35170,865.246176,16229,62163,0,276,35.33333333,71,189,0.0,32.50086625,0.0,1.1501476240000001,0.068895367,0.0,71230502,34,2030,37.74405933,54.12991179,31.51534282,7.741935484,1.9212932440000001,8.649764973,50.46930195,8.19355408,4.494482776,10.80709625,7.776887942999999,9.606096187999999,11.31621829,0.0,8.937276568,1.22176118,1.1012874209999999,0.270343723,0.0,78.04872713,0.0,76.08265026,45.57363245,0.0,0.38579821200000003,2.228412256,3.518868415
Austria,AUT,Europe & Central Asia,High income,2017,2.5300000000000002e-05,1.75e-05,6.37e-06,3.41e-07,1.417774075,9.090000000000001e-07,0.0,222.5359649,1722,6641,154.3231602,2878,10943,0,56,3.0,0,3,0.0,21.53897849,0.0,0.828842016,0.09099234099999999,0.0,12472961,8,0,22.60859694,25.74178027,17.90296034,1.8333333330000001,0.93768407,5.66599516,0.0,1.1802963690000001,0.8304481029999999,1.5594763059999999,1.019072014,1.525257539,1.5657480940000001,0.0,1.787455314,0.10373444,0.0,0.00429117,0.0,51.72446303,0.0,52.9125297,62.77745458,0.0,0.06526152,0.41782729799999996,0.0
Belgium,BEL,Europe & Central Asia,High income,2017,2.07e-05,2.2800000000000002e-05,1.32e-06,4.69e-07,4.131789906,6.15e-07,1.3131737829999999,235.8833333,1210,6275,259.2251804,3449,19060,0,15,5.333333333,2,24,0.0,32.99832174,0.0,0.623063843,0.095761712,0.0,46999763,7,840,18.25715151,34.24218123,3.6705521610000003,2.521505376,2.744404832,3.80351464,38.57265886,1.298212089,0.575385458,1.440838117,2.016238412,1.870861528,3.1109368219999998,0.0,0.454988625,0.184416782,0.031022181,0.034329362,0.0,79.2433343,0.0,38.07337048,66.49069651,0.0,0.253613631,0.348189415,1.456083482
Brazil,BRA,Latin America & Caribbean,Upper middle income,2017,3.45e-06,2.28e-06,1.44e-07,9.620000000000001e-09,0.055361126,3.85e-08,1.632207472,716.1565998,1435,15405,474.51565660000006,3628,23334,0,30,2.0,2,7,0.0,22.25934303,0.0,0.8680889490000001,0.029567509,0.0,11505915,8,1531,1.939231119,1.3311948679999999,0.35623294899999997,0.05172043,0.030725557,0.15140572900000002,47.94383106,5.541128458999999,0.687473535,4.4003098860000005,4.062723583,1.979203235,3.924554737,0.0,0.9424764379999999,0.069156293,0.031022181,0.01001273,0.0,53.45437186,0.0,55.74272048,14.95453166,0.0,0.059986048,0.41782729799999996,2.653885489
Canada,CAN,North America,High income,2017,3.48e-05,2.8999999999999997e-05,5.25e-06,1.06e-05,12.49451914,2.46e-06,1.7317449459999998,1270.518687,12090,38037,1059.449856,14395,62593,0,192,387.0,136,1953,0.0,33.24904791,0.0,1.009109113,0.072695442,0.0,456553078,90,4370,31.59527774,44.18604651,14.74646585,56.98924731,8.311474987999999,15.49153015,50.86760633,10.4385736,5.99546666,11.73642873,9.622928502999999,8.496047646000001,11.39807503,0.0,6.207344816,13.38174274,2.109508298,2.793551802,0.0,79.84543697,0.0,65.91202384,48.53221920000001,0.0,2.487826681,6.128133705,7.575100972
